วันที่,day_type,holiday_subject,รถไฟฟ้า ARL,รถไฟฟ้า BTS,รถไฟฟ้าสายสีชมพู,รถไฟฟ้าสายสีน้ำเงิน,รถไฟฟ้าสายสีม่วง,รถไฟฟ้าสายสีเหลือง,รถไฟฟ้าสายสีแดง,rain_average,dow
2020-08-23,0,normal,26488,335758,not available,151886,21824,not available,not available,7.533333333333333,6
2020-08-24,1,normal,46630,609331,not available,307083,46357,not available,not available,0.0,0
2020-08-25,1,normal,47340,628284,not available,319367,46912,not available,not available,0.0,1
2020-08-26,1,normal,47324,633111,not available,320468,46557,not available,not available,0.0,2
2020-08-27,1,normal,48576,637266,not available,321731,47050,not available,not available,0.0,3
2020-08-28,1,normal,47713,699297,not available,344293,50640,not available,not available,25.155555555555555,4
2020-08-29,0,normal,32889,445830,not available,211067,29621,not available,not available,0.2888888888888889,5
2020-08-30,0,normal,27290,353882,not available,158822,23123,not available,not available,11.155555555555557,6
2020-08-31,1,normal,49731,646789,not available,322697,48130,not available,not available,0.0,0
2020-09-01,1,normal,50645,663348,not available,338622,50816,not available,not available,3.511111111111111,1
2020-09-02,1,normal,49328,633006,not available,326332,48380,not available,not available,1.711111111111111,2
2020-09-03,1,normal,55463,713070,not available,355088,53536,not available,not available,4.0,3
2020-09-04,0,วันหยุดชดเชย,32846,424067,not available,193763,26962,not available,not available,4.7333333333333325,4
2020-09-05,0,normal,29802,383179,not available,176122,23885,not available,not available,18.15555555555555,5
2020-09-06,0,normal,27080,352456,not available,163665,22635,not available,not available,6.4444444444444455,6
2020-09-07,0,วันหยุดชดเชย,28899,339204,not available,155707,23077,not available,not available,0.1333333333333333,0
2020-09-08,1,normal,51046,652311,not available,328298,50820,not available,not available,1.2,1
2020-09-09,1,normal,50305,659290,not available,334605,49414,not available,not available,11.577777777777776,2
2020-09-10,1,normal,50832,658677,not available,338753,50467,not available,not available,4.355555555555555,3
2020-09-11,1,normal,52810,699013,not available,347750,50695,not available,not available,0.0,4
2020-09-12,0,normal,34865,445065,not available,213176,29632,not available,not available,2.7111111111111112,5
2020-09-13,0,normal,30245,353850,not available,170979,23815,not available,not available,0.7555555555555555,6
2020-09-14,1,normal,50163,633052,not available,315832,48665,not available,not available,11.311111111111112,0
2020-09-15,1,normal,49760,650334,not available,326669,49244,not available,not available,3.688888888888889,1
2020-09-16,1,normal,49660,652534,not available,330446,49499,not available,not available,0.0,2
2020-09-17,1,normal,49730,652411,not available,329015,48939,not available,not available,1.4666666666666666,3
2020-09-18,1,normal,52759,690166,not available,342444,51107,not available,not available,5.4,4
2020-09-19,0,normal,32296,419786,not available,211087,28853,not available,not available,1.955555555555556,5
2020-09-20,0,normal,25872,332865,not available,147485,23194,not available,not available,1.688888888888889,6
2020-09-21,1,normal,49813,626897,not available,314849,49150,not available,not available,11.555555555555555,0
2020-09-22,1,normal,49527,659065,not available,333224,50181,not available,not available,6.933333333333334,1
2020-09-23,1,normal,51682,673462,not available,344218,51776,not available,not available,19.75555555555556,2
2020-09-24,1,normal,50541,659477,not available,334911,50523,not available,not available,7.822222222222221,3
2020-09-25,1,normal,55052,714417,not available,349910,51197,not available,not available,0.0222222222222222,4
2020-09-26,0,normal,47081,492223,not available,223024,31540,not available,not available,0.0,5
2020-09-27,0,normal,38691,391337,not available,181970,26997,not available,not available,33.24444444444444,6
2020-09-28,1,normal,51725,658535,not available,324580,49420,not available,not available,21.466666666666665,0
